Metric,Baseline,Finetuned
Hit@1,0.275,0.598
Hit@3,0.392,0.775
Hit@10,0.529,0.892
MRR@10,0.351,0.694

query,baseline_rank,baseline_cosine,finetuned_rank,finetuned_cosine,baseline_snip1,baseline_snip2,baseline_snip3,finetuned_snip1,finetuned_snip2,finetuned_snip3
"representation learning, recommender systems, graph neural networks",4,0.23733163,2,0.40179104,"Experience in Machine Learning and Deep Learning, including regression, classification, neural [...]",skills and handling big data along with real time streaming.Graph Ontology and semantic [...],"experience, disciplined cloud and data-engineering practices, and cutting-edge artificial [...]",experienced data scientist who thrives on innovation and craves the vibrancy of a startup [...],"experiences that you bring. As you read through the expectations of the position, consider how [...]","Experience: MS + 5yrs or PhD + 3yrs in quantitative field: Statistics, Applied Math, Computer [...]"
"healthcare data analysis, predictive modeling, Epic data structures",0,,1,0.59055495,"experience. As an employee, you’re empowered to show up every day as your most authentic self [...]","experience in a Data analytics role Clinical experience (PT, informatics, healthcare, quality, [...]",skills to ensure data analytics objectives and requirements are met. IT Data Analyst works [...],"requirements, plan and execute projects, and produce actionable data to support strategic [...]",skills in the creation and interpretation of quantitative analyses and predictive models and [...],"experience would not survive. But in healthcare, patients lack market power. Which means they [...]"
"ServiceNow implementation, cloud transition management, DoD architecture framework expertise",0,,0,,experience: Software Development for Infrastructure as Code (IaC) with Python or TypeScript: [...],"experience, regulatory compliance & operational efficiencies, enabled by Google Cloud. This [...]",experienceETL pipelinesAzure data factorySSIS experienceReporting data in the data martTeam [...],requirements to technology solutions. You will serve as mentor for junior engineers within the [...],"skills, emphasizing cross-functional collaboration and comprehensive project planning, [...]",experience: Software Development for Infrastructure as Code (IaC) with Python or TypeScript: [...]
Senior Data Analyst fintech SQL dbt data visualization,0,,1,0.58311224,"Data AnalystDakota Dunes, SD Entry Level SQL, Run SQL The queries. Client is using [...]",BI/DW Engineer/Analyst to help the ERP team model their Silver Zone tables and integrate their [...],requirements. · Strong SQL skills and proficiency in data visualization tools are essential [...],skills and business mindset to make a difference every day. We are looking for people who can [...],requirements. · Strong SQL skills and proficiency in data visualization tools are essential [...],skills and knowledge in a supportive and empowering environment. Technology StackWe utilize [...]
"Lead Data Engineer, Azure Databricks, Azure Data Factory, JIRA",3,0.6522596,1,0.73121226,"experience in Azure Databricks to join our team. As a Senior Data Scientist at Techions, you [...]",Experience: 10+ yrsLocation: RemoteAzure Lead Data Engineers 10 years of experience with [...],requirements. You will work closely with cross-functional teams to develop and implement data [...],requirements. You will work closely with cross-functional teams to develop and implement data [...],"experience in Azure Databricks to join our team. As a Senior Data Scientist at Techions, you [...]",Experience: 10+ yrsLocation: RemoteAzure Lead Data Engineers 10 years of experience with [...]
"automotive engineering, cloud infrastructure management, data analysis",0,,1,0.43697047,"skills, and become a part of our global community of talented, diverse, and knowledgeable [...]","skills, and become a part of our global community of talented, diverse, and knowledgeable [...]","experience in data engineering, software engineering, data analytics, or machine [...]",requirements to determine feasibility of design within time and cost constraints.Consults with [...],"skills, and become a part of our global community of talented, diverse, and knowledgeable [...]","skills, and become a part of our global community of talented, diverse, and knowledgeable [...]"
Data Engineer SQL Server ETL Automation,1,0.5409342,2,0.43406004,"experience3+ years MS SQL Server experienceExceptional T-SQL skills, specifically with the use [...]","experience in ETL development, coupled with a profound understanding of data extraction, [...]","experienced Data Engineer to join our team in designing, developing, and optimizing data [...]","Skills & Experience 4+ years of experience as a Data Engineer. Experience in automation, data [...]","experience3+ years MS SQL Server experienceExceptional T-SQL skills, specifically with the use [...]",Qualifications requirements and partner with the product team to provide a strategic [...]
"Verizon Network Capital Management, data modeling, Tableau dashboards, stakeholder engagement",1,0.57933223,1,0.6176297,"skills to join a high-profile, high-visibility organization that powers Verizon's Network [...]",Experience with Tableau2. Ability to present data with meaningful insight.3. Ability to [...],skills of the future by making high-quality education accessible and affordable to [...],"skills to join a high-profile, high-visibility organization that powers Verizon's Network [...]","experience on Data Analysis.Tableau and sql experience If you’re interested in learning more, [...]","experience across the globe! We have major campus work locations in the United States, Canada, [...]"
"Program Data Analyst claims processing, operational protocols, data visualization",2,0.49625933,1,0.44688722,"requirements to pull required data to measure the current state of these assets, set up usage [...]","requirements for claims processing on the Pattern platform, including the required workflow [...]","experience in: -Expert level SQL skills.-Very good Python skills, focused on data analysis, [...]","requirements for claims processing on the Pattern platform, including the required workflow [...]","requirements, determine technical issues, and design reports to meet data analysis [...]",skills.Excellent communication and organizational skills. The Data Analyst is responsible for [...]
"Senior Data Engineer, Azure Synapse, ETL Solutions",0,,6,0.48452654,experience : 5 to 8 We are currently seeking an experienced and motivated Senior Data Engineer [...],experienceETL pipelinesAzure data factorySSIS experienceReporting data in the data martTeam [...],"Skills ; Apache Spark, Azure Synapse, Azure Databricks, SQL, SSIS Overall IT experience: 10+ [...]",experience : 5 to 8 We are currently seeking an experienced and motivated Senior Data Engineer [...],"Machine Learning / AI Engineers / Developers Customer: Method360Location: San Antonio, Texas [...]","experience in ETL development, coupled with a profound understanding of data extraction, [...]"
"Senior Data Analyst, Adobe Analytics, A/B Testing, E-commerce Optimization",2,0.6517599,1,0.69033206,"experience, an annualized transactional volume of $140 billion in 2023, and approximately [...]","experience for hundreds of thousands of end customers around the world “Provide the insight, [...]",requirements for data integration and business intelligence applications. Review project [...],"experience for hundreds of thousands of end customers around the world “Provide the insight, [...]",requirements for data integration and business intelligence applications. Review project [...],"experience for both buyers and sellers. In this role, you would partner closely with the Etsy [...]"
"Japanese language proficiency, multilingual text classification, syntax analysis",1,0.33707964,1,0.38168293,skills in order to help us expand our global features. This individual will be integral in [...],skills in order to help us expand our global features. This individual will be integral in [...],"experience with bash, python, or equivalent script development, deployment, and execution. 1 + [...]",skills in order to help us expand our global features. This individual will be integral in [...],skills in order to help us expand our global features. This individual will be integral in [...],"experience with bash, python, or equivalent script development, deployment, and execution. 1 + [...]"
"Data Quality Improvement, Root Cause Analysis, Collibra Expertise",1,0.5691999,1,0.6289314,requirements. Key ResponsibilitiesData Quality Rule results to recommend Data Quality Rule [...],skills: 2-5 y of exp with data analysis/ data integrity/ data governance; PowerBI development; [...],experienced Technical Data Analyst as part of a team that is supporting the law enforcement [...],requirements. Key ResponsibilitiesData Quality Rule results to recommend Data Quality Rule [...],experience in the U.S. Financial Industry as a business or data analystStrong knowledge of [...],"requirements of analyses and reports.Transform requirements into actionable, high-quality [...]"
"ETL pipeline design, Apache Spark, entity resolution",0,,1,0.48575294,"experience with Databricks, PySpark, SQL, Spark clusters, and Jupyter Notebooks.- Expertise in [...]","Skills: AWS, Spark, Adobe Analytics/AEP(Adobe Experience Platform) platform experience, Glue, [...]","skills in Scala and Spark Hands on experience with data processing technologies, ETL processes [...]","Skills & Experience:Professional experience with Python and a JVM language (e.g., Scala) 4+ [...]","Qualifications 1+ years of data engineering experience Experience with data modeling, [...]","experience with all aspects of the software development lifecycle, from design to deployment. [...]"
"NLP libraries proficiency, deep learning models expertise, statistical machine learning solutions",2,0.61618763,9,0.45100394,"experience with bash, python, or equivalent script development, deployment, and execution. 1 + [...]","Experience in Machine Learning and Deep Learning, including regression, classification, neural [...]","experience, disciplined cloud and data-engineering practices, and cutting-edge artificial [...]","experience with bash, python, or equivalent script development, deployment, and execution. 1 + [...]",skills:Proficiency in Python programming languageKnowledge of natural language processing [...],"RequirementsMaster’s degree or PhD in computer science, artificial intelligence, applied [...]"
"Senior Data Scientist, predictive analytics, cluster analysis, cloud computing environments",0,,6,0.42598248,"experience in Azure Databricks to join our team. As a Senior Data Scientist at Techions, you [...]","experiences, revenue generation, ad targeting, and other business outcomes.Conduct data [...]","experience, operating performance improvement, and increased safety best practices. Develop [...]","Qualifications) Bachelor's degree in a relevant field such as mathematics, statistics, or [...]",skills and ability to extract valuable insights from highly complex data sets to ask the right [...],"experience, operating performance improvement, and increased safety best practices. Develop [...]"
"Attunity ETL developer, DB2 MongoDB experience, AWS services utilization",0,,1,0.63336855,"Experience working in AWS environment (S3, Snowflake, EC2, APIs)Skilled in coding languages [...]",experience. Insurance industry claims system experience preferred.Claims Systems Modernization [...],experience in Technical Leadership in a Big Data Environment Teradata experienceETL Experience [...],skills:· 8+ years of Strong ETL & Data warehousing concepts· Strong Attunity experience· DB2 [...],requirements to technology solutions. You will serve as mentor for junior engineers within the [...],"experienced Data Engineer seeking new opportunities? Look no further! Our direct client, a [...]"
"User requirements analysis, system usability optimization, stakeholder communication",1,0.4824543,1,0.42660534,"requirements for systems in production, to ensure maximum usability Qualifications[Some [...]",qualifications and experience. RESPONSIBILITIESData Analysis and Insights: Utilize advanced [...],"requirements, processes, and workflows. They will work closely with project managers, [...]","requirements for systems in production, to ensure maximum usability Qualifications[Some [...]","requirements. If you do not have experience as a Business Analyst or Product Owner, you will [...]","requirements, processes, and workflows. They will work closely with project managers, [...]"
"AWS (S3, Snowflake, EC2), Data Quality Monitoring Tools, BI Tools (Tableau, Quicksight)",1,0.66754377,2,0.7585832,"Requirements/Must Have Skills:Experience working in AWS environment (S3, Snowflake, EC2, [...]","Experience working in AWS environment (S3, Snowflake, EC2, APIs)Skilled in coding languages [...]","experience in data engineering, software engineering, data analytics, or machine [...]","Experience working in AWS environment (S3, Snowflake, EC2, APIs)Skilled in coding languages [...]","Requirements/Must Have Skills:Experience working in AWS environment (S3, Snowflake, EC2, [...]",experience. Strong SQL Skills Strong Python Skills What are the top three PREFERRED skill sets [...]
"Data analysis, technical writing, project management, Top-Secret clearance",0,,0,,"skills, data skills, analytics skills, and chemistry subject matter expertise. Role will [...]",requirements and translate them into analytical solutions. Provide analytical support for [...],"skills including but not limited to Pivot Tables, VLookup and XLookup etcManage data and [...]","Skills/Attributes Data analysis, verbal communication mastery, written communication mastery, [...]",Requirements NOTE: Candidates already possessing a Top Secret clearance preferred. [...],Actively participates in projects in assigned area of responsibility; develops and manages [...]
"defense systems modeling, experimental design, statistical modeling techniques",1,0.44596142,1,0.74705064,skills to analyze and answer complex questions in the defense domain. You will collaborate [...],requirements and develop solutions that meet those needs.Stay up-to-date with emerging trends [...],"requirements from business stakeholders, identifying opportunities to apply advanced analytic [...]",skills to analyze and answer complex questions in the defense domain. You will collaborate [...],skills through exceptional training as well as frequent coaching and mentoring from [...],experience: GS-15: Data Science Strategy and Design Serves as an authority for scientific data [...]
Principal Data Scientist job search query: marketing analytics model productionization stakeholder engagement,0,,2,0.41766405,"experience at Amazon, driving productivity and retention, and resulting in a motivated [...]",experience. You are comfortable with a range of statistical and ML techniques with the ability [...],skills to spearhead high impact initiatives that optimize operational performance and generate [...],experience. You are comfortable with a range of statistical and ML techniques with the ability [...],experience to build machine-learning models. You will collaborate closely with our Field [...],"experience for our clients. The Data Analyst, Marketing supports and enhances ongoing business [...]"
"Senior Data Analyst, financial modeling, Power BI reporting, market analysis",0,,3,0.47719687,"experience, an annualized transactional volume of $140 billion in 2023, and approximately [...]","experience and financial performance of hospitals, health systems and medical groups. We are [...]",experience and our ability to be compelling to our clients. You’ll find an environment that [...],experienced analyst for its Coffee Manufacturing operation. If you are looking for a dynamic [...],experience and our ability to be compelling to our clients. You’ll find an environment that [...],"RequirementsBachelor's degree or equivalent experience in finance, economics or data analytics [...]"
"advanced data science algorithms, live recommender systems, scalable distributed systems",0,,1,0.6676043,skills and handling big data along with real time streaming.Graph Ontology and semantic [...],skills and handling big data along with real time streamingGraph Ontology and semantic [...],experience with kubernetes operating knowledge.Working with data pipelines and experience with [...],experienced data scientist who thrives on innovation and craves the vibrancy of a startup [...],"Experience: MS + 5yrs or PhD + 3yrs in quantitative field: Statistics, Applied Math, Computer [...]",Requirements:Bachelors degree or equivalent practical experience.5+ years of experience with [...]
Senior Data Engineer ETL Data Warehousing Data Modeling,0,,6,0.6069875,"Experience with various databases including SQL Server, Teradata, Snowflake, and Synapse.Solid [...]","experienced Data Engineer to maintain and enhance current data environment while providing, [...]","experience in designing and developing data warehouse and data lake ETL/ELT pipelines,4+ years [...]",experienced team that caters to niche skills demands for customers across various technologies [...],"Qualifications Data Engineering, Data Modeling, and ETL (Extract Transform Load) skillsData [...]",QualificationsData Engineering and Data Modeling skillsExperience with ETL (Extract Transform [...]
"Alteryx data analysis, ETL processes, data visualization with Tableau",1,0.5481379,1,0.55026305,"requirements. Employee will also be required to review, analyze and report on data from [...]",Experience with Tableau2. Ability to present data with meaningful insight.3. Ability to [...],"experience on Data Analysis.Tableau and sql experience If you’re interested in learning more, [...]","requirements. Employee will also be required to review, analyze and report on data from [...]","experience in data analysis.Must have 3+ years with Alteryx used professionally, “Alteryx core [...]",Qualifications:Relevant educational qualification or degree in Data analytics or Data Science [...]
FCAS ACAS P&C actuarial predictive modeling leadership,0,,0,,"experience and make a real impact for our members. We believe in our core values of honesty, [...]","experience, an annualized transactional volume of $140 billion in 2023, and approximately [...]",experience as increase conversion rates. Work with marketing analysts and marketing operations [...],requirements.Implement vendor-developed models for consumer and commercial credit loss or [...],"QUALIFICATIONS, EXPERIENCE REQUIRED: · Bachelor’s Degree in Mathematics, Business or related [...]",Requirements are:Experience in Banking and Financial ServicesSQL DevelopmentSAS [...]
"Clinical data analytics, Epic System expertise, healthcare quality reporting",1,0.72690463,1,0.63455033,"experience in a Data analytics role Clinical experience (PT, informatics, healthcare, quality, [...]",skills.Excellent communication and organizational skills. The Data Analyst is responsible for [...],skills to ensure data analytics objectives and requirements are met. IT Data Analyst works [...],"experience in a Data analytics role Clinical experience (PT, informatics, healthcare, quality, [...]",skills and healthcare industry knowledge to provide insights that support decision-making and [...],"experience.Collaborate with other solution and functional teams (e.g., commercial operations, [...]"
"Online retail analytics, SQL query writing, advanced data visualization",0,,1,0.5145144,"Skills RequiredTechnical Requirements: • Strong written, oral, and interpersonal [...]","experience for hundreds of thousands of end customers around the world “Provide the insight, [...]",Skills:2 intermediate analytics skills (BQ/SQL),experience projects in Nordstrom’s high-growth Direct online channel. This individual should [...],requirements. · Strong SQL skills and proficiency in data visualization tools are essential [...],requirements.Supports a database optimization project supporting trade dress cut-over [...]
"Advanced A/B testing, metrics design, insurance industry analytics",0,,1,0.68312407,"experience for hundreds of thousands of end customers around the world “Provide the insight, [...]",requirements for data integration and business intelligence applications. Review project [...],experience.You will collaborate with other team leads and stakeholders to understand and [...],Skills: Your Expertise: 5+ years in industry experience and a degree (Masters or PhD is a [...],"Qualifications - Bachelor degree in Mathematics, Statistics, Computer Science, or Analytics - [...]","experience for hundreds of thousands of end customers around the world “Provide the insight, [...]"
"Data cleansing techniques, Power Query (M Language, DAX), ERP systems (JDE)",0,,1,0.67971647,skills: 2-5 y of exp with data analysis/ data integrity/ data governance; PowerBI development; [...],"Experience with various databases including SQL Server, Teradata, Snowflake, and Synapse.Solid [...]",Requirements Documents (BRDs) and technical design Documents (TRDs).Use appropriate tools to [...],"requirements and objectives. Collect, cleanse, and validate data from various sources to [...]",experience in the U.S. Financial Industry as a business or data analystStrong knowledge of [...],QUALIFICATIONS Required Certifications DoD IAT Level III Certification (Must obtain within 180 [...]
"Data integration, SQL optimization, Hadoop experience",0,,1,0.6300535,Experience supporting and troubleshooting complex data systems and integrations* Experience [...],"SkillsExpertise and hands-on experience on Spark, and Hadoop echo system components – Must [...]","Experience with various databases including SQL Server, Teradata, Snowflake, and Synapse.Solid [...]",experience in querying the high volumes of data and doing the data analysis must inform how [...],Experience supporting and troubleshooting complex data systems and integrations* Experience [...],"Role - Azure Data Engineer + Hadoop and SQL Exp.Location - Bellevue, WA (Day 1 Onsite) Job [...]"
"Healthcare claims data analysis, complex SQL optimization, ETL process support",1,0.59021187,1,0.620225,skills.Excellent communication and organizational skills. The Data Analyst is responsible for [...],"experience in using, manipulating, and extracting insights from healthcare data with a [...]","experience in a Data analytics role Clinical experience (PT, informatics, healthcare, quality, [...]",skills.Excellent communication and organizational skills. The Data Analyst is responsible for [...],"experience in using, manipulating, and extracting insights from healthcare data with a [...]","requirements, plan and execute projects, and produce actionable data to support strategic [...]"
"GCP BigQuery, Data Pipeline Development, Technical Documentation Skills",0,,1,0.60083425,"Qualifications:SKILLS NEEEDED: Teradata, GCP BigQuery, Python Data Processing- Scripting, [...]",experience with agile engineering and problem-solving creativity. United by our core values [...],"Skills: Big Data, GCP, Apache Spark, Apache Beam Requirements:Bachelor's degree in Computer [...]",requirements Skills Required: Have Technical Documentation Skill by translating business [...],"Skills: GCP Data Engineer with 3-4 years of hands-on GCP/BigQuery experience (GCP, BigQuery, [...]","requirements for our direct client, please go through the below Job Description. If you are [...]"
"Palantir Foundry, Data Engineering features, Ontology Manager",1,0.59659314,1,0.7473177,experience on Palantir Foundry8+ years in Data Engineering and must have at least 3-4 years of [...],skills and attention to detail. Job Duties: · Participation in user interviews to understand [...],"requirements to pull required data to measure the current state of these assets, set up usage [...]",experience on Palantir Foundry8+ years in Data Engineering and must have at least 3-4 years of [...],skills and attention to detail. Job Duties: · Participation in user interviews to understand [...],"skills in the broader Capital One team Promote a culture of engineering excellence, using [...]"
"Senior Healthcare Data Analyst, SAS, SQL, Healthcare Analytics",0,,2,0.5433456,skills to ensure data analytics objectives and requirements are met. IT Data Analyst works [...],"experience in a Data analytics role Clinical experience (PT, informatics, healthcare, quality, [...]","experience in using, manipulating, and extracting insights from healthcare data with a [...]",experience in SQL required. Experience in the health care preferred. Experience in python/R [...],Qualifications: Bachelor's degree or equivalent combination of education and experience [...],skills in the creation and interpretation of quantitative analyses and predictive models and [...]
"AI compiler development, advanced compilation techniques, AI strategy leadership",6,0.39800426,1,0.47863066,"experience with high-performance computing, it would be advantageous, especially in optimizing [...]",Requirements Description and Requirements Role Value Proposition: The Platforms & Engineering [...],"experienced, passionate pioneer in technology - a solutions builder, a roll-up-your-sleeves [...]","QualificationsAdvanced degree (Ph.D. preferred) in Computer Science, Electrical Engineering, [...]","Requirements:Proven experience as an AI Engineer, with a strong track record of developing and [...]",Requirements Description and Requirements Role Value Proposition: The Platforms & Engineering [...]
"Project management, process improvement, budget coordination",2,0.5235386,1,0.702837,requirements and offer effective solutions. The Senior Procurement Data Analyst provides key [...],Actively participates in projects in assigned area of responsibility; develops and manages [...],"requirements of analyses and reports.Transform requirements into actionable, high-quality [...]",Actively participates in projects in assigned area of responsibility; develops and manages [...],"requirements, processes, and workflows. They will work closely with project managers, [...]","Skills/Attributes Data analysis, verbal communication mastery, written communication mastery, [...]"
Data Engineer SQL AWS Redshift BI Tools,0,,1,0.569103,requirements Source to target mapping SQL Skills- running queries AWS and Databricks [...],"Requirements/Must Have Skills:Experience working in AWS environment (S3, Snowflake, EC2, [...]","experienced Data Engineer to maintain and enhance current data environment while providing, [...]","experience, this is your chance to make history. The team continues to innovate with delivery [...]",experience. Strong SQL Skills Strong Python Skills What are the top three PREFERRED skill sets [...],Skills :• Configure AEP to get the data set needed and then use spark (AWS glue ) to load data [...]
"Data Scientist with expertise in statistical analysis, machine learning infrastructure, and business alignment strategies.",0,,1,0.46231905,"experience, operating performance improvement, and increased safety best practices. Develop [...]",experience to build machine-learning models. You will collaborate closely with our Field [...],"requirements, objectives, and challenges. Translate business needs into actionable insights [...]",experiences and business solutions capable of powering the most high-scale websites in the [...],"skills to drive real world impact. You will lead end-to-end machine learning projects, driving [...]",experience to build machine-learning models. You will collaborate closely with our Field [...]
"Loans data analysis, KNIME data pipeline development, SharePoint site management",0,,1,0.60288835,"requirements to pull required data to measure the current state of these assets, set up usage [...]","skills, able to translate complex business requirements into sound data management and data [...]","experience with Databricks, PySpark, SQL, Spark clusters, and Jupyter Notebooks.- Expertise in [...]","Skills/Attributes: Data Analysis, Loan Processing, Microsoft Office, SQL Job Description [...]","Qualifications:Extensive experience in finance or project management, proficiency in tools [...]",Qualifications:• 10+ years of experience • Experience and proficiency building data pipelines [...]
"customer lifecycle analysis, monetization analytics, multivariate experimentation",10,0.4507121,1,0.47200143,"experience for hundreds of thousands of end customers around the world “Provide the insight, [...]",experience as increase conversion rates. Work with marketing analysts and marketing operations [...],experience. You are comfortable with a range of statistical and ML techniques with the ability [...],experiences based on user attributes Identify key trends and build automated reporting & [...],experience. You are comfortable with a range of statistical and ML techniques with the ability [...],experience to build machine-learning models. You will collaborate closely with our Field [...]
"IT Data Engineer, data pipeline optimization, ETL development, cloud-based infrastructure",0,,1,0.54971266,experience in ETL/DW Strong experience in setting up enterprise data platforms with modern [...],"experienced Data Engineer to maintain and enhance current data environment while providing, [...]",QualificationsData Engineering and Data Modeling skillsExperience with ETL (Extract Transform [...],"experience with all aspects of the software development lifecycle, from design to deployment. [...]","requirements into technical solutions, including data model designs and API [...]","Qualifications Data Engineering, Data Modeling, and ETL (Extract Transform Load) skillsData [...]"
predictive modeling health claims data Azure ML,0,,2,0.4691264,skills.Excellent communication and organizational skills. The Data Analyst is responsible for [...],"experience. As an employee, you’re empowered to show up every day as your most authentic self [...]","experience in using, manipulating, and extracting insights from healthcare data with a [...]","requirements, plan and execute projects, and produce actionable data to support strategic [...]",Skills: Strong experience in data science and analytics - 4 years minimumProficiency in [...],"experience in using, manipulating, and extracting insights from healthcare data with a [...]"
"Java development, AWS cloud services, microservices architecture",6,0.4489636,1,0.7277367,experience and should be completely comfortable and up to date with the recent versions of [...],"Skill set Required: Primary:Python, Scala, AWS servicesNoSQL storage databases such Cassandra [...]",experience: Software Development for Infrastructure as Code (IaC) with Python or TypeScript: [...],"skills, emphasizing cross-functional collaboration and comprehensive project planning, [...]",requirements to technology solutions. You will serve as mentor for junior engineers within the [...],"Skill set Required: Primary:Python, Scala, AWS servicesNoSQL storage databases such Cassandra [...]"
"Senior Data Scientist, biological sample analysis, deep learning CNN architecture, predictive analytics platform",1,0.66547394,1,0.63028073,experience with Python who would be able to support algorithm and data model development [...],"experience (3+ years) in developing and deploying machine learning models, particularly in [...]",experienced data scientist who thrives on innovation and craves the vibrancy of a startup [...],experience with Python who would be able to support algorithm and data model development [...],Experience in the biotech industry is advantageous. Requirements: Ø Expertise in deep learning [...],"Experience You’ll Need A PhD in statistics, mathematics, data science, machine learning, [...]"
Generative AI Data Scientist Azure infrastructure Gen-AI architecture,3,0.5249647,1,0.6266006,"experience in DevOps, ML, MLOps, Big Data, Python, integration, and deployment methodologies. [...]","experienced, passionate pioneer in technology - a solutions builder, a roll-up-your-sleeves [...]","Skills:· Proven experience as a Data Scientist / Cloud Engineer or similar role, with a focus [...]","Skills:· Proven experience as a Data Scientist / Cloud Engineer or similar role, with a focus [...]","experience in DevOps, ML, MLOps, Big Data, Python, integration, and deployment methodologies. [...]",Requirements Description and Requirements Role Value Proposition: The Platforms & Engineering [...]
